XmacGene,XmacGeneID,Evalue,HumanGene,SwissprotAnnotationID
gene22290,GeneID:102225430,1.00E-17,sp|Q9NW97|TMM51_HUMAN,Q9NW97
gene22291,GeneID:102224049,3.00E-161,sp|P12755|SKI_HUMAN,P12755
gene22292,GeneID:102225168,0,sp|O75038|PLCH2_HUMAN,O75038
gene22293,GeneID:102223790,5.00E-93,tr|F8WEZ8|F8WEZ8_HUMAN,F8WEZ8
gene22294,GeneID:102224910,0,sp|O95696|BRD1_HUMAN,O95696
gene22295,GeneID:102224645,4.00E-177,sp|Q7L1V2|MON1B_HUMAN,Q7L1V2
gene22296,GeneID:102223536,9.00E-18,sp|P57738|TCTA_HUMAN,P57738
gene22297,GeneID:102224396,1.00E-147,sp|Q8IVS8|GLCTK_HUMAN,Q8IVS8
gene22298,GeneID:102223275,0,sp|Q6UXN9|WDR82_HUMAN,Q6UXN9
gene22299,GeneID:102223018,2.00E-177,sp|Q6IBS0|TWF2_HUMAN,Q6IBS0
gene223,GeneID:102228195,9.00E-71,sp|Q9UKB5|AJAP1_HUMAN,Q9UKB5
gene2230,GeneID:111606734,NA,NA,
gene22300,GeneID:102222759,2.00E-41,sp|Q9NSE2|CISH_HUMAN,Q9NSE2
gene22301,GeneID:102222507,1.00E-81,sp|Q9Y5R4|HEMK1_HUMAN,Q9Y5R4
gene22302,GeneID:102224139,0,sp|Q8WTW4|NPRL2_HUMAN,Q8WTW4
gene22303,GeneID:102222246,8.00E-167,sp|O75800|ZMY10_HUMAN,O75800
gene22304,GeneID:102221987,5.00E-133,sp|Q9NS23|RASF1_HUMAN,Q9NS23
gene22305,GeneID:102221717,1.00E-43,sp|O75896|TUSC2_HUMAN,O75896
gene22306,GeneID:102223880,7.00E-153,sp|Q12891|HYAL2_HUMAN,Q12891
gene22307,GeneID:102216625,1.00E-132,sp|Q12794|HYAL1_HUMAN,Q12794
gene22308,GeneID:111605865,3.00E-128,sp|Q12891|HYAL2_HUMAN,Q12891
gene22309,GeneID:111605808,6.00E-133,sp|Q12794|HYAL1_HUMAN,Q12794
gene2231,GeneID:111606736,NA,NA,
gene22312,GeneID:102216371,3.00E-128,sp|Q12891|HYAL2_HUMAN,Q12891
gene22313,GeneID:111605863,6.00E-133,sp|Q12794|HYAL1_HUMAN,Q12794
gene22314,GeneID:102238176,1.00E-148,sp|Q12891|HYAL2_HUMAN,Q12891
gene22315,GeneID:102223620,0,sp|Q9NY47|CA2D2_HUMAN,Q9NY47
gene22316,GeneID:102221455,8.00E-80,sp|Q96IU4|ABHEB_HUMAN,Q96IU4
gene22317,GeneID:102223362,0,tr|G3XAK1|G3XAK1_HUMAN,G3XAK1
gene22318,GeneID:111605835,NA,NA,
gene22319,GeneID:102221026,2.00E-31,sp|Q9UK00|CC018_HUMAN,Q9UK00
gene2232,GeneID:111606739,NA,NA,
gene22320,GeneID:102220768,0,sp|P62873|GBB1_HUMAN,P62873
gene22321,GeneID:102220505,NA,NA,
gene22322,GeneID:102220240,5.00E-35,sp|Q8N2Z9|CENPS_HUMAN,Q8N2Z9
gene22323,GeneID:111605820,NA,NA,
gene22324,GeneID:102219978,1.00E-67,sp|Q96R05|RET7_HUMAN,Q96R05
gene22325,GeneID:102223104,0,sp|O95479|G6PE_HUMAN,O95479
gene22326,GeneID:102226201,0,sp|P29317|EPHA2_HUMAN,P29317
gene22327,GeneID:102222847,1.00E-87,sp|Q9BU20|CPLN2_HUMAN,Q9BU20
gene22328,GeneID:102222591,2.00E-72,sp|Q8IW93|ARHGJ_HUMAN,Q8IW93
gene22329,GeneID:102222075,1.00E-169,sp|Q5TDH0|DDI2_HUMAN,Q5TDH0
gene2233,GeneID:111606741,NA,NA,
gene22330,GeneID:102221805,1.00E-10,sp|P43489|TNR4_HUMAN,P43489
gene22331,GeneID:111605787,2.00E-11,sp|P25942|TNR5_HUMAN,P25942
gene22332,GeneID:102219721,3.00E-135,sp|Q9NVJ2|ARL8B_HUMAN,Q9NVJ2
gene22333,GeneID:102219469,0,sp|Q92611|EDEM1_HUMAN,Q92611
gene22334,GeneID:102219206,0,sp|P11488|GNAT1_HUMAN,P11488
gene22335,GeneID:102221546,0,sp|Q13275|SEM3F_HUMAN,Q13275
gene22336,GeneID:102221289,6.00E-35,sp|P52756|RBM5_HUMAN,P52756
gene22337,GeneID:102218945,0,sp|Q8NCB2|CAMKV_HUMAN,Q8NCB2
gene22338,GeneID:102220769,0,sp|Q04912|RON_HUMAN,Q04912
gene22339,GeneID:102220506,0,sp|P22314|UBA1_HUMAN,P22314
gene2234,GeneID:111606742,NA,NA,
gene22340,GeneID:102218679,3.00E-28,sp|Q96EL1|INKA1_HUMAN,Q96EL1
gene22341,GeneID:102218428,0,sp|Q99624|S38A3_HUMAN,Q99624
gene22342,GeneID:102218166,0,sp|P52756|RBM5_HUMAN,P52756
gene22343,GeneID:102217910,6.00E-50,sp|Q8WUW1|BRK1_HUMAN,Q8WUW1
gene22344,GeneID:102217659,2.00E-88,sp|P07203|GPX1_HUMAN,P07203
gene22345,GeneID:106700467,1.00E-51,sp|Q9Y6I9|TX264_HUMAN,Q9Y6I9
gene22346,GeneID:102217242,0,sp|Q14416|GRM2_HUMAN,Q14416
gene22347,GeneID:102219979,0,sp|O43818|U3IP2_HUMAN,O43818
gene22348,GeneID:106700465,NA,NA,
gene22349,GeneID:102219470,2.00E-99,sp|Q9BZJ8|GPR61_HUMAN,Q9BZJ8
gene2235,GeneID:111606744,NA,NA,
gene22350,GeneID:102219207,2.00E-33,sp|P51636|CAV2_HUMAN,P51636
gene22351,GeneID:102218946,1.00E-148,sp|P30559|OXYR_HUMAN,P30559
gene22352,GeneID:102218680,0,sp|O43295|SRGP3_HUMAN,O43295
gene22353,GeneID:102218429,5.00E-137,sp|Q16647|PTGIS_HUMAN,Q16647
gene22354,GeneID:102218167,0,sp|Q14721|KCNB1_HUMAN,Q14721
gene22355,GeneID:102216821,0,sp|O95793|STAU1_HUMAN,O95793
gene22356,GeneID:102217911,0,sp|Q86U86|PB1_HUMAN,Q86U86
gene22357,GeneID:102217660,0,sp|Q14012|KCC1A_HUMAN,Q14012
gene22358,GeneID:102217406,5.00E-50,sp|Q92520|FAM3C_HUMAN,Q92520
gene22359,GeneID:106700245,7.00E-126,tr|A0A2U3TZK7|A0A2U3TZK7_HUMAN,A0A2U3TZK7
gene2236,GeneID:111606745,NA,NA,
gene22360,GeneID:102228393,0,sp|P23470|PTPRG_HUMAN,P23470
gene22361,GeneID:102228654,0,sp|Q9ULU8|CAPS1_HUMAN,Q9ULU8
gene22362,GeneID:102228916,1.00E-85,sp|Q8TBG9|SYNPR_HUMAN,Q8TBG9
gene22363,GeneID:102229180,4.00E-139,sp|P08100|OPSD_HUMAN,P08100
gene22364,GeneID:102229434,2.00E-148,sp|P08100|OPSD_HUMAN,P08100
gene22365,GeneID:102231798,0,sp|Q9NSD5|S6A13_HUMAN,Q9NSD5
gene22366,GeneID:111605924,NA,NA,
gene22367,GeneID:102232053,0,sp|Q9NSD5|S6A13_HUMAN,Q9NSD5
gene22368,GeneID:102229698,0,sp|Q13451|FKBP5_HUMAN,Q13451
gene22369,GeneID:102229957,2.00E-52,sp|P84103|SRSF3_HUMAN,P84103
gene2237,GeneID:111606747,NA,NA,
gene22370,GeneID:102230220,2.00E-41,sp|Q7Z6P3|RAB44_HUMAN,Q7Z6P3
gene22371,GeneID:102232312,2.00E-107,sp|O95900|TRUB2_HUMAN,O95900
gene22372,GeneID:102232568,3.00E-52,sp|Q9BSH5|HDHD3_HUMAN,Q9BSH5
gene22373,GeneID:102232831,7.00E-31,tr|F8WA74|F8WA74_HUMAN,F8WA74
gene22374,GeneID:102233093,0,sp|Q9BYW1|GTR11_HUMAN,Q9BYW1
gene22375,GeneID:111605850,NA,NA,
gene22376,GeneID:102233356,0,sp|Q9HBE1|PATZ1_HUMAN,Q9HBE1
gene22377,GeneID:102230483,0,sp|Q9NRA8|4ET_HUMAN,Q9NRA8
gene22378,GeneID:102233614,1.00E-117,sp|A8K8P3|SFI1_HUMAN,A8K8P3
gene22379,GeneID:102233871,1.00E-118,tr|E7EQB2|E7EQB2_HUMAN,E7EQB2
gene2238,GeneID:111606748,NA,NA,
gene22380,GeneID:102234128,2.00E-138,sp|Q9Y6E7|SIR4_HUMAN,Q9Y6E7
gene22381,GeneID:111605754,6.00E-40,sp|Q96LT6|CA074_HUMAN,Q96LT6
gene22382,GeneID:102230744,3.00E-24,sp|Q96B49|TOM6_HUMAN,Q96B49
gene22383,GeneID:102231004,4.00E-55,sp|Q9BRT2|UQCC2_HUMAN,Q9BRT2
gene22384,GeneID:102231266,1.00E-56,sp|P30536|TSPO_HUMAN,P30536
gene22385,GeneID:102231530,2.00E-53,sp|P30536|TSPO_HUMAN,P30536
gene22386,GeneID:102234385,7.00E-123,sp|Q8WU20|FRS2_HUMAN,Q8WU20
gene22387,GeneID:102229981,0,sp|Q9NSD5|S6A13_HUMAN,Q9NSD5
gene22388,GeneID:102225156,0,sp|Q9NSD5|S6A13_HUMAN,Q9NSD5
gene22389,GeneID:102229512,1.00E-104,sp|Q9Y3C6|PPIL1_HUMAN,Q9Y3C6
gene2239,GeneID:111606749,NA,NA,
gene22390,GeneID:102229255,0,sp|P06733|ENOA_HUMAN,P06733
gene22391,GeneID:102228837,3.00E-143,tr|B1AKN3|B1AKN3_HUMAN,B1AKN3
gene22392,GeneID:111605838,NA,NA,
gene22393,GeneID:102238327,NA,NA,
gene22394,GeneID:102228642,7.00E-27,tr|Q5T2W7|Q5T2W7_HUMAN,Q5T2W7
gene22395,GeneID:102237804,0,sp|Q3ZCT8|KBTBC_HUMAN,Q3ZCT8
gene22396,GeneID:102237550,3.00E-175,tr|A0A0C4DFT5|A0A0C4DFT5_HUMAN,A0A0C4DFT5
gene22397,GeneID:102228382,7.00E-173,sp|Q9NXG6|P4HTM_HUMAN,Q9NXG6
gene22398,GeneID:102227480,0,sp|P12882|MYH1_HUMAN,P12882
gene22399,GeneID:102227738,0,sp|P12882|MYH1_HUMAN,P12882
gene224,GeneID:102220590,8.00E-42,sp|Q6ZUK4|TMM26_HUMAN,Q6ZUK4
gene2240,GeneID:111606755,NA,NA,
gene22400,GeneID:102237286,0,sp|P12882|MYH1_HUMAN,P12882
gene22401,GeneID:111612351,NA,NA,
gene22402,GeneID:102227354,0,tr|C9JE82|C9JE82_HUMAN,C9JE82
gene22403,GeneID:102227096,NA,NA,
gene22404,GeneID:102226839,3.00E-67,sp|Q9BUJ0|ABHEA_HUMAN,Q9BUJ0
gene22405,GeneID:102237035,7.00E-148,sp|Q12891|HYAL2_HUMAN,Q12891
gene22406,GeneID:102226579,1.00E-44,sp|O75896|TUSC2_HUMAN,O75896
gene22407,GeneID:102226324,8.00E-117,sp|Q9NS23|RASF1_HUMAN,Q9NS23
gene22408,GeneID:102236774,7.00E-23,tr|E9PQU0|E9PQU0_HUMAN,E9PQU0
gene22409,GeneID:102236516,0,sp|Q9Y4B4|ARIP4_HUMAN,Q9Y4B4
gene2241,GeneID:111606759,NA,NA,
gene22410,GeneID:102226073,0,sp|Q92560|BAP1_HUMAN,Q92560
gene22411,GeneID:102225812,NA,NA,
gene22412,GeneID:102225551,0,sp|O15083|ERC2_HUMAN,O15083
gene22413,GeneID:106699871,7.00E-63,sp|Q96HD1|CREL1_HUMAN,Q96HD1
gene22414,GeneID:102236264,2.00E-05,sp|Q8NAC3|I17RC_HUMAN,Q8NAC3
gene22415,GeneID:102236007,0,tr|A0A087WW43|A0A087WW43_HUMAN,A0A087WW43
gene22416,GeneID:102235752,0,sp|Q06033|ITIH3_HUMAN,Q06033
gene22417,GeneID:102235501,7.00E-179,sp|Q06033|ITIH3_HUMAN,Q06033
gene22418,GeneID:102234975,0,tr|H0Y7T5|H0Y7T5_HUMAN,H0Y7T5
gene22419,GeneID:102225292,4.00E-36,sp|Q92982|NINJ1_HUMAN,Q92982
gene2242,GeneID:111606760,NA,NA,
gene22420,GeneID:111605933,NA,NA,
gene22421,GeneID:102225030,2.00E-26,sp|Q96LW7|CAR19_HUMAN,Q96LW7
gene22422,GeneID:102234714,0,sp|Q8TD16|BICD2_HUMAN,Q8TD16
gene22423,GeneID:102224760,0,sp|P29401|TKT_HUMAN,P29401
gene22424,GeneID:102234457,0,tr|Q59GD8|Q59GD8_HUMAN,Q59GD8
gene22425,GeneID:102224503,5.00E-77,sp|P04000|OPSR_HUMAN,P04000
gene22426,GeneID:102233939,0,sp|Q8IZS8|CA2D3_HUMAN,Q8IZS8
gene22427,GeneID:111605824,NA,NA,
gene22428,GeneID:111605798,NA,NA,
gene22429,GeneID:111605799,NA,NA,
gene2243,GeneID:111606762,NA,NA,
gene22430,GeneID:111605827,NA,NA,
gene22431,GeneID:111612359,NA,NA,
gene22432,GeneID:102224253,2.00E-15,sp|Q8IZA3|H1FOO_HUMAN,Q8IZA3
gene22433,GeneID:102223999,4.00E-18,tr|Q6N039|Q6N039_HUMAN,Q6N039
gene22434,GeneID:102223736,0,tr|E9PC87|E9PC87_HUMAN,E9PC87
gene22435,GeneID:102233679,NA,NA,
gene22436,GeneID:111605886,5.00E-17,sp|Q5FWE3|PRRT3_HUMAN,Q5FWE3
gene22437,GeneID:102223485,0,sp|Q2TAL8|QRIC1_HUMAN,Q2TAL8
gene22438,GeneID:102233424,1.00E-105,sp|Q96CM3|RUSD4_HUMAN,Q96CM3
gene22439,GeneID:102223222,2.00E-164,sp|Q6UXN9|WDR82_HUMAN,Q6UXN9
gene2244,GeneID:111606763,NA,NA,
gene22440,GeneID:102233161,7.00E-49,sp|Q9NSE2|CISH_HUMAN,Q9NSE2
gene22441,GeneID:102222710,3.00E-138,sp|P61586|RHOA_HUMAN,P61586
gene22442,GeneID:102232899,2.00E-122,sp|Q9BTV4|TMM43_HUMAN,Q9BTV4
gene22443,GeneID:102232639,0,sp|P50395|GDIB_HUMAN,P50395
gene22444,GeneID:102222457,6.00E-58,sp|Q9BU61|NDUF3_HUMAN,Q9BU61
gene22445,GeneID:102232376,2.00E-178,sp|Q9NZQ3|SPN90_HUMAN,Q9NZQ3
gene22446,GeneID:102222194,2.00E-162,sp|P13861|KAP2_HUMAN,P13861
gene22447,GeneID:102232126,0,sp|Q96T58|MINT_HUMAN,Q96T58
gene22448,GeneID:102231870,3.00E-73,sp|Q8WUP2|FBLI1_HUMAN,Q8WUP2
gene22449,GeneID:102231609,6.00E-51,sp|A0PJX8|TMM82_HUMAN,A0PJX8
gene2245,GeneID:111606765,NA,NA,
gene22450,GeneID:102231345,9.00E-104,sp|Q6PIV7|S2534_HUMAN,Q6PIV7
gene22451,GeneID:102221666,0,sp|Q6P3S6|FBX42_HUMAN,Q6P3S6
gene22452,GeneID:102231088,6.00E-28,sp|Q7Z422|SZRD1_HUMAN,Q7Z422
gene22453,GeneID:102221400,1.00E-101,sp|Q9NVZ3|NECP2_HUMAN,Q9NVZ3
gene22454,GeneID:102230829,0,sp|Q5TZA2|CROCC_HUMAN,Q5TZA2
gene22455,GeneID:102230566,8.00E-44,sp|P55001|MFAP2_HUMAN,P55001
gene22456,GeneID:102221139,6.00E-168,sp|P21912|SDHB_HUMAN,P21912
gene22457,GeneID:102220884,3.00E-67,sp|Q9BYC9|RM20_HUMAN,Q9BYC9
gene22458,GeneID:102220437,0,sp|Q9NVI7|ATD3A_HUMAN,Q9NVI7
gene22459,GeneID:102220175,2.00E-131,sp|Q9NP77|SSU72_HUMAN,Q9NP77
gene2246,GeneID:111606766,NA,NA,
gene22460,GeneID:102219918,1.00E-33,sp|F2Z333|FND10_HUMAN,F2Z333
gene22461,GeneID:102230298,9.00E-05,sp|Q8NFZ6|VN1R2_HUMAN,Q8NFZ6
gene22462,GeneID:102230035,NA,NA,
gene22463,GeneID:102229774,4.00E-59,sp|Q6PCB0|VWA1_HUMAN,Q6PCB0
gene22464,GeneID:111605789,NA,NA,
gene22465,GeneID:102234654,9.00E-65,tr|E5RFZ1|E5RFZ1_HUMAN,E5RFZ1
gene22466,GeneID:102234397,7.00E-37,sp|Q5TGZ0|MIC10_HUMAN,Q5TGZ0
gene22467,GeneID:102234141,0,sp|P47756|CAPZB_HUMAN,P47756
gene22468,GeneID:102220854,0,sp|Q9HCU4|CELR2_HUMAN,Q9HCU4
gene22469,GeneID:102225089,0,sp|Q6XUX3|DUSTY_HUMAN,Q6XUX3
gene2247,GeneID:111606767,NA,NA,
gene22470,GeneID:102221108,0,sp|Q9H093|NUAK2_HUMAN,Q9H093
gene22471,GeneID:102221373,1.00E-62,sp|P30279|CCND2_HUMAN,P30279
gene22472,GeneID:102221641,0,sp|Q13895|BYST_HUMAN,Q13895
gene22473,GeneID:102225352,3.00E-99,sp|Q9H944|MED20_HUMAN,Q9H944
gene22474,GeneID:102225787,0,sp|Q70CQ1|UBP49_HUMAN,Q70CQ1
gene22475,GeneID:102221906,3.00E-162,tr|G5E963|G5E963_HUMAN,G5E963
gene22476,GeneID:111605915,NA,NA,
gene22477,GeneID:102222169,4.00E-17,sp|P38936|CDN1A_HUMAN,P38936
gene22478,GeneID:102226051,4.00E-62,sp|P84103|SRSF3_HUMAN,P84103
gene22479,GeneID:102226306,0,sp|O43865|SAHH2_HUMAN,O43865
gene2248,GeneID:111606769,NA,NA,
gene22480,GeneID:102222433,0,sp|Q5VSL9|STRP1_HUMAN,Q5VSL9
gene22481,GeneID:102222684,3.00E-41,sp|O95361|TRI16_HUMAN,O95361
gene22482,GeneID:102226739,0,sp|Q9H1V8|S6A17_HUMAN,Q9H1V8
gene22484,GeneID:102222939,3.00E-93,sp|Q86WK6|AMGO1_HUMAN,Q86WK6
gene22485,GeneID:102223192,3.00E-113,sp|Q9BZJ8|GPR61_HUMAN,Q9BZJ8
gene22486,GeneID:102224109,0,sp|Q01433|AMPD2_HUMAN,Q01433
gene22487,GeneID:102224787,5.00E-80,sp|Q8TE67|ES8L3_HUMAN,Q8TE67
gene22488,GeneID:102225056,0,sp|O14896|IRF6_HUMAN,O14896
gene22489,GeneID:111605920,NA,NA,
gene2249,GeneID:111606772,NA,NA,
gene22490,GeneID:102224530,3.00E-113,sp|Q9BQA1|MEP50_HUMAN,Q9BQA1
gene22491,GeneID:102223457,0,sp|Q86U86|PB1_HUMAN,Q86U86
gene22492,GeneID:102226998,0,sp|P55060|XPO2_HUMAN,P55060
gene22493,GeneID:102223710,7.00E-131,sp|Q8IZV5|RDH10_HUMAN,Q8IZV5
gene22494,GeneID:102223972,0,sp|Q14721|KCNB1_HUMAN,Q14721
gene22495,GeneID:102224227,3.00E-152,sp|Q16647|PTGIS_HUMAN,Q16647
gene22496,GeneID:102224480,0,sp|Q9BV44|THUM3_HUMAN,Q9BV44
gene22497,GeneID:102224735,NA,NA,
gene22498,GeneID:102225004,6.00E-72,sp|Q9NS91|RAD18_HUMAN,Q9NS91
gene22499,GeneID:102227251,3.00E-157,sp|P30559|OXYR_HUMAN,P30559
gene225,GeneID:102227937,0,sp|O14764|GBRD_HUMAN,O14764
gene2250,GeneID:111606775,NA,NA,
gene22500,GeneID:102227510,8.00E-80,sp|P56539|CAV3_HUMAN,P56539
gene22501,GeneID:102225266,3.00E-43,sp|P51636|CAV2_HUMAN,P51636
gene22502,GeneID:102225526,2.00E-96,sp|Q9BZJ8|GPR61_HUMAN,Q9BZJ8
gene22503,GeneID:102227771,0,sp|Q9Y6F1|PARP3_HUMAN,Q9Y6F1
gene22504,GeneID:102228032,0,sp|Q14832|GRM3_HUMAN,Q14832
gene22505,GeneID:102225788,1.00E-62,tr|C9JXQ7|C9JXQ7_HUMAN,C9JXQ7
gene22506,GeneID:102226052,0,sp|Q9BXW9|FACD2_HUMAN,Q9BXW9
gene22507,GeneID:102224382,1.00E-89,sp|P07203|GPX1_HUMAN,P07203
gene22508,GeneID:102224630,0,sp|Q13107|UBP4_HUMAN,Q13107
gene22509,GeneID:102228281,7.00E-173,sp|Q9P0I2|EMC3_HUMAN,Q9P0I2
gene2251,GeneID:111606776,NA,NA,
gene22510,GeneID:102228537,0,sp|Q99624|S38A3_HUMAN,Q99624
gene22511,GeneID:102228806,0,sp|P04899|GNAI2_HUMAN,P04899
gene22512,GeneID:102229068,4.00E-28,sp|Q96EL1|INKA1_HUMAN,Q96EL1
gene22513,GeneID:102226561,0,sp|Q02388|CO7A1_HUMAN,Q02388
gene22514,GeneID:102229826,1.00E-60,sp|Q99680|GPR22_HUMAN,Q99680
gene22515,GeneID:111605939,NA,NA,
gene22516,GeneID:102229327,1.00E-166,sp|Q9UHH9|IP6K2_HUMAN,Q9UHH9
gene22517,GeneID:102227074,0,tr|F8W776|F8W776_HUMAN,F8W776
gene22518,GeneID:102227331,0,sp|P61619|S61A1_HUMAN,P61619
gene22519,GeneID:102227596,1.00E-63,sp|Q8N4Q1|MIA40_HUMAN,Q8N4Q1
gene2252,GeneID:111606778,NA,NA,
gene22520,GeneID:102229743,0,sp|Q96N76|HUTU_HUMAN,Q96N76
gene22521,GeneID:102227849,0,sp|Q16644|MAPK3_HUMAN,Q16644
gene22522,GeneID:102228105,6.00E-28,sp|O00401|WASL_HUMAN,O00401
gene22523,GeneID:102230006,0,sp|Q16877|F264_HUMAN,Q16877
gene22524,GeneID:102230269,3.00E-118,sp|P59998|ARPC4_HUMAN,P59998
gene22525,GeneID:102230535,6.00E-151,sp|P51149|RAB7A_HUMAN,P51149
gene22526,GeneID:102228354,9.00E-80,sp|Q14314|FGL2_HUMAN,Q14314
gene22527,GeneID:102230974,0,sp|P23769|GATA2_HUMAN,P23769
gene22528,GeneID:102228614,0,sp|Q00973|B4GN1_HUMAN,Q00973
gene22529,GeneID:102231413,0,sp|P57772|SELB_HUMAN,P57772
gene2253,GeneID:111606779,NA,NA,
gene22530,GeneID:102231677,0,sp|Q9Y265|RUVB1_HUMAN,Q9Y265
gene22531,GeneID:102231932,1.00E-13,tr|C9JYJ2|C9JYJ2_HUMAN,C9JYJ2
gene22532,GeneID:102228879,0,sp|Q96AA3|RFT1_HUMAN,Q96AA3
gene22533,GeneID:102232189,0,sp|Q05655|KPCD_HUMAN,Q05655
gene22534,GeneID:102229142,0,sp|Q6ZNL6|FGD5_HUMAN,Q6ZNL6
gene22535,GeneID:102229403,4.00E-143,sp|Q6PII3|CC174_HUMAN,Q6PII3
gene22536,GeneID:102229664,4.00E-127,sp|Q93075|TATD2_HUMAN,Q93075
gene22537,GeneID:102232438,2.00E-45,sp|P40337|VHL_HUMAN,P40337
gene22538,GeneID:111612342,2.00E-07,sp|O75132|ZBED4_HUMAN,O75132
gene22539,GeneID:102229923,2.00E-96,sp|P47901|V1BR_HUMAN,P47901
gene2254,GeneID:111606780,NA,NA,
gene22540,GeneID:102232705,0,sp|Q96SW2|CRBN_HUMAN,Q96SW2
gene22541,GeneID:102232968,NA,NA,
gene22542,GeneID:102233134,0,sp|Q9UQ80|PA2G4_HUMAN,Q9UQ80
gene22543,GeneID:102230188,0,sp|P21860|ERBB3_HUMAN,P21860
gene22544,GeneID:102233397,3.00E-132,sp|P61204|ARF3_HUMAN,P61204
gene22545,GeneID:111605858,NA,NA,
gene22546,GeneID:102233835,2.00E-40,sp|Q9NYL4|FKB11_HUMAN,Q9NYL4
gene22547,GeneID:102234261,1.00E-47,sp|P62854|RS26_HUMAN,P62854
gene22548,GeneID:102230454,6.00E-140,tr|F8VPL6|F8VPL6_HUMAN,F8VPL6
gene22549,GeneID:102234512,3.00E-104,sp|Q15382|RHEB_HUMAN,Q15382
gene2255,GeneID:111606782,NA,NA,
gene22550,GeneID:102234772,0,sp|P54619|AAKG1_HUMAN,P54619
gene22551,GeneID:102230716,4.00E-72,sp|Q7Z3H0|PANKY_HUMAN,Q7Z3H0
gene22552,GeneID:102230975,7.00E-172,sp|Q86VW2|ARHGP_HUMAN,Q86VW2
gene22553,GeneID:102235034,0,sp|Q00973|B4GN1_HUMAN,Q00973
gene22554,GeneID:102235297,5.00E-122,sp|Q13438|OS9_HUMAN,Q13438
gene22555,GeneID:102235556,1.00E-145,sp|Q9NS00|C1GLT_HUMAN,Q9NS00
gene22556,GeneID:102235807,5.00E-14,sp|Q13790|APOF_HUMAN,Q13790
gene22557,GeneID:102236235,3.00E-180,sp|P40763|STAT3_HUMAN,P40763
gene22558,GeneID:111605919,NA,NA,
gene22559,GeneID:102231236,2.00E-96,sp|Q9NQS5|GPR84_HUMAN,Q9NQS5
gene2256,GeneID:111606783,NA,NA,
gene22560,GeneID:102236485,2.00E-61,sp|Q96PM9|Z385A_HUMAN,Q96PM9
gene22561,GeneID:102231499,1.00E-59,sp|Q9HD90|NDF4_HUMAN,Q9HD90
gene22562,GeneID:102221185,3.00E-133,sp|P21128|ENDOU_HUMAN,P21128
gene22563,GeneID:102220924,3.00E-84,sp|P43897|EFTS_HUMAN,P43897
gene22564,GeneID:102236739,2.00E-87,tr|G8JLA2|G8JLA2_HUMAN,G8JLA2
gene22565,GeneID:102237168,0,sp|Q8TAQ2|SMRC2_HUMAN,Q8TAQ2
gene22566,GeneID:102237428,2.00E-88,sp|Q86Z23|C1QL4_HUMAN,Q86Z23
gene22567,GeneID:102231764,0,tr|A0A2R8Y891|A0A2R8Y891_HUMAN,A0A2R8Y891
gene22568,GeneID:102232020,0,sp|Q14674|ESPL1_HUMAN,Q14674
gene22569,GeneID:106699649,7.00E-25,sp|Q99471|PFD5_HUMAN,Q99471
gene2257,GeneID:111606784,NA,NA,
gene22570,GeneID:102237683,2.00E-73,sp|Q99471|PFD5_HUMAN,Q99471
gene22571,GeneID:102232281,1.00E-160,sp|Q71RC2|LARP4_HUMAN,Q71RC2
gene22572,GeneID:102237941,4.00E-155,sp|P17544|ATF7_HUMAN,P17544
gene22573,GeneID:102238203,0,sp|Q9P265|DIP2B_HUMAN,Q9P265
gene22574,GeneID:111612353,NA,NA,
gene22575,GeneID:102216396,1.00E-80,sp|P18846|ATF1_HUMAN,P18846
gene22576,GeneID:102232534,4.00E-76,tr|H0YI09|H0YI09_HUMAN,H0YI09
gene22577,GeneID:102216653,1.00E-95,tr|H0YI09|H0YI09_HUMAN,H0YI09
gene22578,GeneID:102216915,0,sp|Q9UQD0|SCN8A_HUMAN,Q9UQD0
gene22579,GeneID:111605776,2.00E-31,sp|Q5HY92|FIGN_HUMAN,Q5HY92
gene2258,GeneID:111606786,NA,NA,
gene22580,GeneID:102229904,0,sp|Q2Y0W8|S4A8_HUMAN,Q2Y0W8
gene22581,GeneID:102217164,6.00E-108,sp|O14503|BHE40_HUMAN,O14503
gene22582,GeneID:102217419,0,sp|Q14643|ITPR1_HUMAN,Q14643
gene22583,GeneID:102218008,1.00E-160,sp|Q8NBK3|SUMF1_HUMAN,Q8NBK3
gene22584,GeneID:102218271,0,sp|Q6UXK5|LRRN1_HUMAN,Q6UXK5
gene22585,GeneID:102232801,1.00E-20,sp|Q9UNH7|SNX6_HUMAN,Q9UNH7
gene22586,GeneID:102233062,1.00E-27,sp|Q9UBS3|DNJB9_HUMAN,Q9UBS3
gene22587,GeneID:102218529,1.00E-67,sp|Q96K80|ZC3HA_HUMAN,Q96K80
gene22588,GeneID:102233320,0,sp|Q9BSJ8|ESYT1_HUMAN,Q9BSJ8
gene22589,GeneID:111605894,5.00E-61,sp|Q8TDB6|DTX3L_HUMAN,Q8TDB6
gene2259,GeneID:111606789,NA,NA,
gene22590,GeneID:111605897,9.00E-64,sp|Q8TDB6|DTX3L_HUMAN,Q8TDB6
gene22591,GeneID:111605898,NA,NA,
gene22592,GeneID:111605900,NA,NA,
gene22593,GeneID:111605895,NA,NA,
gene22594,GeneID:111605806,6.00E-65,sp|Q8TDB6|DTX3L_HUMAN,Q8TDB6
gene22595,GeneID:106700163,2.00E-64,sp|Q8TDB6|DTX3L_HUMAN,Q8TDB6
