tissue,direction_of_diff_expression,GO_term,Description,P-value,FDR q-value,Enrichment,N,B,n,b
gill,downregulated,GO:0045453,bone resorption,1.51E-04,5.15E-03,5.3,11186,16,924,7
gill,downregulated,GO:0032753,positive regulation of interleukin-4 production,1.51E-04,5.14E-03,5.3,11186,16,924,7
gill,downregulated,GO:0032480,negative regulation of type I interferon production,1.69E-04,5.73E-03,3.78,11186,32,924,10
gill,downregulated,GO:0050878,regulation of body fluid levels,1.70E-04,5.76E-03,1.82,11186,259,924,39
gill,downregulated,GO:0043549,regulation of kinase activity,1.74E-04,5.89E-03,1.48,11186,661,924,81
gill,downregulated,GO:0006643,membrane lipid metabolic process,1.79E-04,6.03E-03,2.13,11186,148,924,26
gill,downregulated,GO:0045936,negative regulation of phosphate metabolic process,1.99E-04,6.69E-03,1.61,11186,428,924,57
gill,downregulated,GO:0009615,response to virus,2.00E-04,6.71E-03,2.11,11186,149,924,26
gill,downregulated,GO:1904894,positive regulation of STAT cascade,2.09E-04,7.00E-03,3.23,11186,45,924,12
gill,downregulated,GO:0010563,negative regulation of phosphorus metabolic process,2.11E-04,7.07E-03,1.61,11186,429,924,57
gill,downregulated,GO:0036037,"CD8-positive, alpha-beta T cell activation",2.16E-04,7.21E-03,9.68,11186,5,924,4
gill,downregulated,GO:0060264,regulation of respiratory burst involved in inflammatory response,2.16E-04,7.19E-03,9.68,11186,5,924,4
gill,downregulated,GO:0045124,regulation of bone resorption,2.24E-04,7.45E-03,3.67,11186,33,924,10
gill,downregulated,GO:0031400,negative regulation of protein modification process,2.27E-04,7.51E-03,1.58,11186,459,924,60
gill,downregulated,GO:0010604,positive regulation of macromolecule metabolic process,2.35E-04,7.76E-03,1.22,11186,2328,924,235
gill,downregulated,GO:0043367,"CD4-positive, alpha-beta T cell differentiation",2.38E-04,7.86E-03,4.98,11186,17,924,7
gill,downregulated,GO:0051828,entry into other organism involved in symbiotic interaction,2.48E-04,8.15E-03,2.75,11186,66,924,15
gill,downregulated,GO:0051806,entry into cell of other organism involved in symbiotic interaction,2.48E-04,8.13E-03,2.75,11186,66,924,15
gill,downregulated,GO:0030260,entry into host cell,2.48E-04,8.12E-03,2.75,11186,66,924,15
gill,downregulated,GO:0044409,entry into host,2.48E-04,8.10E-03,2.75,11186,66,924,15
gill,downregulated,GO:0071347,cellular response to interleukin-1,2.62E-04,8.54E-03,3.16,11186,46,924,12
gill,downregulated,GO:0045859,regulation of protein kinase activity,2.73E-04,8.87E-03,1.5,11186,580,924,72
gill,downregulated,GO:0002690,positive regulation of leukocyte chemotaxis,2.85E-04,9.27E-03,2.97,11186,53,924,13
gill,downregulated,GO:0014015,positive regulation of gliogenesis,2.85E-04,9.24E-03,2.97,11186,53,924,13
gill,downregulated,GO:0032732,positive regulation of interleukin-1 production,2.95E-04,9.52E-03,3.56,11186,34,924,10
gill,downregulated,GO:0038094,Fc-gamma receptor signaling pathway,2.96E-04,9.53E-03,2.82,11186,60,924,14
gill,downregulated,GO:0043406,positive regulation of MAP kinase activity,3.23E-04,1.04E-02,1.91,11186,196,924,31
gill,downregulated,GO:1904018,positive regulation of vasculature development,3.32E-04,1.06E-02,2.16,11186,129,924,23
gill,downregulated,GO:1904019,epithelial cell apoptotic process,3.35E-04,1.07E-02,4.21,11186,23,924,8
gill,downregulated,GO:0001894,tissue homeostasis,3.43E-04,1.10E-02,2.42,11186,90,924,18
gill,downregulated,GO:0043368,positive T cell selection,3.62E-04,1.15E-02,6.73,11186,9,924,5
gill,downregulated,GO:0010818,T cell chemotaxis,3.62E-04,1.15E-02,6.73,11186,9,924,5
gill,downregulated,GO:0010917,negative regulation of mitochondrial membrane potential,3.62E-04,1.15E-02,6.73,11186,9,924,5
gill,downregulated,GO:1902187,negative regulation of viral release from host cell,3.62E-04,1.15E-02,6.73,11186,9,924,5
gill,downregulated,GO:0045837,negative regulation of membrane potential,3.62E-04,1.14E-02,6.73,11186,9,924,5
gill,downregulated,GO:0045123,cellular extravasation,3.62E-04,1.14E-02,6.73,11186,9,924,5
gill,downregulated,GO:0042534,regulation of tumor necrosis factor biosynthetic process,3.62E-04,1.14E-02,4.71,11186,18,924,7
gill,downregulated,GO:0042269,regulation of natural killer cell mediated cytotoxicity,3.62E-04,1.14E-02,4.71,11186,18,924,7
gill,downregulated,GO:0002861,regulation of inflammatory response to antigenic stimulus,3.62E-04,1.14E-02,4.71,11186,18,924,7
gill,downregulated,GO:0044419,interspecies interaction between organisms,3.81E-04,1.19E-02,1.46,11186,657,924,79
gill,downregulated,GO:0050710,negative regulation of cytokine secretion,3.82E-04,1.19E-02,3.46,11186,35,924,10
gill,downregulated,GO:0070302,regulation of stress-activated protein kinase signaling cascade,3.83E-04,1.19E-02,1.97,11186,172,924,28
gill,downregulated,GO:0019933,cAMP-mediated signaling,3.96E-04,1.23E-02,2.39,11186,91,924,18
gill,downregulated,GO:0048525,negative regulation of viral process,4.02E-04,1.25E-02,3.03,11186,48,924,12
gill,downregulated,GO:0051338,regulation of transferase activity,4.04E-04,1.25E-02,1.42,11186,750,924,88
gill,downregulated,GO:0010508,positive regulation of autophagy,4.12E-04,1.27E-02,2.32,11186,99,924,19
gill,downregulated,GO:0008064,regulation of actin polymerization or depolymerization,4.17E-04,1.29E-02,2.13,11186,131,924,23
gill,downregulated,GO:0070201,regulation of establishment of protein localization,4.27E-04,1.31E-02,1.5,11186,539,924,67
gill,downregulated,GO:0002831,regulation of response to biotic stimulus,4.30E-04,1.32E-02,2.45,11186,84,924,17
gill,downregulated,GO:1901698,response to nitrogen compound,4.35E-04,1.33E-02,1.45,11186,670,924,80
gill,downregulated,GO:0002449,lymphocyte mediated immunity,4.52E-04,1.38E-02,3.17,11186,42,924,11
gill,downregulated,GO:0002698,negative regulation of immune effector process,4.62E-04,1.41E-02,2.52,11186,77,924,16
gill,downregulated,GO:0032535,regulation of cellular component size,4.63E-04,1.41E-02,1.88,11186,200,924,31
gill,downregulated,GO:0030832,regulation of actin filament length,4.66E-04,1.42E-02,2.11,11186,132,924,23
gill,downregulated,GO:0050690,regulation of defense response to virus by virus,4.66E-04,1.41E-02,4.04,11186,24,924,8
gill,downregulated,GO:0007264,small GTPase mediated signal transduction,4.81E-04,1.46E-02,1.92,11186,183,924,29
gill,downregulated,GO:0071902,positive regulation of protein serine/threonine kinase activity,5.17E-04,1.56E-02,1.76,11186,255,924,37
gill,downregulated,GO:0009968,negative regulation of signal transduction,5.17E-04,1.56E-02,1.36,11186,943,924,106
gill,downregulated,GO:0001916,positive regulation of T cell mediated cytotoxicity,5.26E-04,1.58E-02,5.19,11186,14,924,6
gill,downregulated,GO:1901223,negative regulation of NIK/NF-kappaB signaling,5.26E-04,1.58E-02,5.19,11186,14,924,6
gill,downregulated,GO:2000316,regulation of T-helper 17 type immune response,5.26E-04,1.57E-02,5.19,11186,14,924,6
gill,downregulated,GO:0043372,"positive regulation of CD4-positive, alpha-beta T cell differentiation",5.33E-04,1.59E-02,4.46,11186,19,924,7
gill,downregulated,GO:0002548,monocyte chemotaxis,5.33E-04,1.59E-02,4.46,11186,19,924,7
gill,downregulated,GO:0002715,regulation of natural killer cell mediated immunity,5.33E-04,1.59E-02,4.46,11186,19,924,7
gill,downregulated,GO:0060334,regulation of interferon-gamma-mediated signaling pathway,5.33E-04,1.58E-02,4.46,11186,19,924,7
gill,downregulated,GO:0060330,regulation of response to interferon-gamma,5.33E-04,1.58E-02,4.46,11186,19,924,7
gill,downregulated,GO:0035710,"CD4-positive, alpha-beta T cell activation",5.33E-04,1.58E-02,4.46,11186,19,924,7
gill,downregulated,GO:0002232,leukocyte chemotaxis involved in inflammatory response,5.62E-04,1.66E-02,12.11,11186,3,924,3
gill,downregulated,GO:0002553,histamine secretion by mast cell,5.62E-04,1.66E-02,12.11,11186,3,924,3
gill,downregulated,GO:0002441,histamine secretion involved in inflammatory response,5.62E-04,1.65E-02,12.11,11186,3,924,3
gill,downregulated,GO:0046427,positive regulation of JAK-STAT cascade,5.63E-04,1.65E-02,3.1,11186,43,924,11
gill,downregulated,GO:0002455,humoral immune response mediated by circulating immunoglobulin,6.06E-04,1.77E-02,8.07,11186,6,924,4
gill,downregulated,GO:0001973,adenosine receptor signaling pathway,6.06E-04,1.77E-02,8.07,11186,6,924,4
gill,downregulated,GO:0046629,gamma-delta T cell activation,6.06E-04,1.77E-02,8.07,11186,6,924,4
gill,downregulated,GO:0010522,regulation of calcium ion transport into cytosol,6.10E-04,1.77E-02,2.76,11186,57,924,13
gill,downregulated,GO:0002433,immune response-regulating cell surface receptor signaling pathway involved in phagocytosis,6.10E-04,1.77E-02,2.76,11186,57,924,13
gill,downregulated,GO:0038096,Fc-gamma receptor signaling pathway involved in phagocytosis,6.10E-04,1.77E-02,2.76,11186,57,924,13
gill,downregulated,GO:0033628,regulation of cell adhesion mediated by integrin,6.23E-04,1.80E-02,3.27,11186,37,924,10
gill,downregulated,GO:1903901,negative regulation of viral life cycle,6.23E-04,1.80E-02,3.27,11186,37,924,10
gill,downregulated,GO:0002886,regulation of myeloid leukocyte mediated immunity,6.23E-04,1.80E-02,3.27,11186,37,924,10
gill,downregulated,GO:0046850,regulation of bone remodeling,6.23E-04,1.79E-02,3.27,11186,37,924,10
gill,downregulated,GO:0002820,negative regulation of adaptive immune response,6.37E-04,1.83E-02,3.87,11186,25,924,8
gill,downregulated,GO:0010648,negative regulation of cell communication,6.39E-04,1.83E-02,1.34,11186,1012,924,112
gill,downregulated,GO:0051051,negative regulation of transport,6.43E-04,1.84E-02,1.65,11186,323,924,44
gill,downregulated,GO:0032872,regulation of stress-activated MAPK cascade,6.53E-04,1.86E-02,1.93,11186,169,924,27
gill,downregulated,GO:0006911,"phagocytosis, engulfment",6.56E-04,1.87E-02,3.51,11186,31,924,9
gill,downregulated,GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,6.56E-04,1.86E-02,3.51,11186,31,924,9
gill,downregulated,GO:0032693,negative regulation of interleukin-10 production,6.74E-04,1.91E-02,6.05,11186,10,924,5
gill,downregulated,GO:0023057,negative regulation of signaling,6.88E-04,1.95E-02,1.34,11186,1014,924,112
gill,downregulated,GO:0046578,regulation of Ras protein signal transduction,6.91E-04,1.95E-02,2.02,11186,144,924,24
gill,downregulated,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,6.96E-04,1.96E-02,3.03,11186,44,924,11
gill,downregulated,GO:0032677,regulation of interleukin-8 production,6.96E-04,1.96E-02,3.03,11186,44,924,11
gill,downregulated,GO:0002573,myeloid leukocyte differentiation,7.05E-04,1.98E-02,2.61,11186,65,924,14
gill,downregulated,GO:0035023,regulation of Rho protein signal transduction,7.05E-04,1.98E-02,2.61,11186,65,924,14
gill,downregulated,GO:0043269,regulation of ion transport,7.55E-04,2.11E-02,1.53,11186,451,924,57
gill,downregulated,GO:0031323,regulation of cellular metabolic process,7.56E-04,2.11E-02,1.14,11186,3994,924,375
gill,downregulated,GO:0019882,antigen processing and presentation,7.61E-04,2.12E-02,1.94,11186,162,924,26
gill,downregulated,GO:0030029,actin filament-based process,7.96E-04,2.21E-02,1.67,11186,298,924,41
gill,downregulated,GO:0046488,phosphatidylinositol metabolic process,7.99E-04,2.22E-02,2.03,11186,137,924,23
gill,downregulated,GO:0002294,"CD4-positive, alpha-beta T cell differentiation involved in immune response",8.16E-04,2.26E-02,4.84,11186,15,924,6
gill,downregulated,GO:0045589,regulation of regulatory T cell differentiation,8.16E-04,2.26E-02,4.84,11186,15,924,6
gill,downregulated,GO:0045408,regulation of interleukin-6 biosynthetic process,8.16E-04,2.25E-02,4.84,11186,15,924,6
gill,downregulated,GO:0042093,T-helper cell differentiation,8.16E-04,2.25E-02,4.84,11186,15,924,6
gill,downregulated,GO:0019724,B cell mediated immunity,8.16E-04,2.24E-02,4.84,11186,15,924,6
gill,downregulated,GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein,8.47E-04,2.33E-02,3.4,11186,32,924,9
gill,downregulated,GO:0050704,regulation of interleukin-1 secretion,8.47E-04,2.32E-02,3.4,11186,32,924,9
gill,downregulated,GO:0002431,Fc receptor mediated stimulatory signaling pathway,8.64E-04,2.36E-02,2.67,11186,59,924,13
gill,downregulated,GO:0070555,response to interleukin-1,9.69E-04,2.65E-02,2.53,11186,67,924,14
gill,downregulated,GO:0022603,regulation of anatomical structure morphogenesis,9.71E-04,2.65E-02,1.37,11186,823,924,93
gill,downregulated,GO:0035690,cellular response to drug,9.72E-04,2.64E-02,1.74,11186,236,924,34
gill,downregulated,GO:0008285,negative regulation of cell proliferation,9.96E-04,2.70E-02,1.5,11186,476,924,59
liver,upregulated,GO:0006886,intracellular protein transport,1.56E-04,1.00E+00,3.06,11186,657,78,14
liver,upregulated,GO:0071702,organic substance transport,5.71E-04,1.00E+00,2.06,11186,1532,78,22
liver,upregulated,GO:1901998,toxin transport,9.42E-04,1.00E+00,15.37,11186,28,78,3
liver,downregulated,GO:0002376,immune system process,1.21E-29,1.77E-25,3.2,11186,1298,283,105
liver,downregulated,GO:0006955,immune response,1.29E-28,9.43E-25,5.24,11186,475,283,63
liver,downregulated,GO:0006952,defense response,7.43E-24,3.62E-20,4.32,11186,577,283,63
liver,downregulated,GO:0007165,signal transduction,3.49E-23,1.28E-19,2.08,11186,2812,283,148
liver,downregulated,GO:0002684,positive regulation of immune system process,8.03E-23,2.34E-19,4.07,11186,622,283,64
liver,downregulated,GO:0007166,cell surface receptor signaling pathway,1.05E-22,2.56E-19,2.74,11186,1443,283,100
liver,downregulated,GO:0002682,regulation of immune system process,3.91E-20,8.17E-17,3.13,11186,961,283,76
liver,downregulated,GO:0019221,cytokine-mediated signaling pathway,1.35E-19,2.47E-16,4.78,11186,389,283,47
liver,downregulated,GO:0001775,cell activation,1.97E-19,3.20E-16,3.61,11186,678,283,62
liver,downregulated,GO:0050776,regulation of immune response,5.66E-19,8.27E-16,3.76,11186,610,283,58
liver,downregulated,GO:0045321,leukocyte activation,6.15E-19,8.17E-16,3.81,11186,591,283,57
liver,downregulated,GO:0050778,positive regulation of immune response,3.81E-18,4.64E-15,4.31,11186,440,283,48
liver,downregulated,GO:0050900,leukocyte migration,1.17E-17,1.32E-14,6.85,11186,179,283,31
liver,downregulated,GO:0048584,positive regulation of response to stimulus,1.39E-16,1.45E-13,2.38,11186,1526,283,92
liver,downregulated,GO:0002253,activation of immune response,4.04E-16,3.94E-13,4.83,11186,311,283,38
liver,downregulated,GO:0060326,cell chemotaxis,9.79E-16,8.94E-13,8.18,11186,116,283,24
liver,downregulated,GO:0050867,positive regulation of cell activation,2.19E-15,1.88E-12,5.73,11186,214,283,31
liver,downregulated,GO:0045087,innate immune response,4.22E-15,3.43E-12,5.22,11186,250,283,33
liver,downregulated,GO:0002696,positive regulation of leukocyte activation,6.30E-15,4.84E-12,5.73,11186,207,283,30
liver,downregulated,GO:0006935,chemotaxis,1.38E-14,1.01E-11,5.79,11186,198,283,29
liver,downregulated,GO:0042330,taxis,1.58E-14,1.10E-11,5.76,11186,199,283,29
liver,downregulated,GO:0002694,regulation of leukocyte activation,1.81E-14,1.20E-11,4.42,11186,331,283,37
liver,downregulated,GO:0050865,regulation of cell activation,4.53E-14,2.88E-11,4.18,11186,359,283,38
liver,downregulated,GO:0051249,regulation of lymphocyte activation,5.04E-14,3.06E-11,4.8,11186,272,283,33
liver,downregulated,GO:0030595,leukocyte chemotaxis,7.23E-14,4.23E-11,9.39,11186,80,283,19
liver,downregulated,GO:0046649,lymphocyte activation,7.84E-14,4.41E-11,5.22,11186,227,283,30
liver,downregulated,GO:0050789,regulation of biological process,1.20E-13,6.51E-11,1.32,11186,7030,283,234
liver,downregulated,GO:0002757,immune response-activating signal transduction,2.17E-13,1.13E-10,4.7,11186,269,283,32
liver,downregulated,GO:0002764,immune response-regulating signaling pathway,2.88E-13,1.45E-10,4.51,11186,289,283,33
liver,downregulated,GO:0050794,regulation of cellular process,3.26E-13,1.59E-10,1.34,11186,6607,283,224
liver,downregulated,GO:0002521,leukocyte differentiation,4.18E-13,1.97E-10,5.5,11186,194,283,27
liver,downregulated,GO:0040011,locomotion,5.98E-13,2.73E-10,2.95,11186,710,283,53
liver,downregulated,GO:0016477,cell migration,5.98E-13,2.65E-10,3.18,11186,597,283,48
liver,downregulated,GO:0030098,lymphocyte differentiation,6.06E-13,2.60E-10,6.54,11186,139,283,23
liver,downregulated,GO:0006954,inflammatory response,2.34E-12,9.76E-10,4.76,11186,241,283,29
liver,downregulated,GO:0065007,biological regulation,2.37E-12,9.60E-10,1.27,11186,7459,283,240
liver,downregulated,GO:0048583,regulation of response to stimulus,2.94E-12,1.16E-09,1.74,11186,2841,283,125
liver,downregulated,GO:0051251,positive regulation of lymphocyte activation,2.97E-12,1.14E-09,5.52,11186,179,283,25
liver,downregulated,GO:0048870,cell motility,3.44E-12,1.29E-09,2.98,11186,649,283,49
liver,downregulated,GO:0002252,immune effector process,4.70E-12,1.72E-09,3.05,11186,609,283,47
liver,downregulated,GO:0050896,response to stimulus,5.78E-12,2.06E-09,1.65,11186,3314,283,138
liver,downregulated,GO:0070098,chemokine-mediated signaling pathway,8.64E-12,3.00E-09,12.85,11186,40,283,13
liver,downregulated,GO:0002429,immune response-activating cell surface receptor signaling pathway,4.47E-11,1.52E-08,4.89,11186,202,283,25
liver,downregulated,GO:0002768,immune response-regulating cell surface receptor signaling pathway,5.68E-11,1.89E-08,4.65,11186,221,283,26
liver,downregulated,GO:0031347,regulation of defense response,7.60E-11,2.47E-08,3.16,11186,500,283,40
liver,downregulated,GO:0050863,regulation of T cell activation,1.55E-10,4.93E-08,4.82,11186,197,283,24
liver,downregulated,GO:0006950,response to stress,2.09E-10,6.49E-08,1.85,11186,2027,283,95
liver,downregulated,GO:0051707,response to other organism,2.62E-10,7.98E-08,3.81,11186,311,283,30
liver,downregulated,GO:0009607,response to biotic stimulus,2.70E-10,8.05E-08,3.15,11186,477,283,38
liver,downregulated,GO:0043207,response to external biotic stimulus,2.83E-10,8.28E-08,3.21,11186,456,283,37
liver,downregulated,GO:1903037,regulation of leukocyte cell-cell adhesion,3.89E-10,1.11E-07,4.81,11186,189,283,23
liver,downregulated,GO:0097529,myeloid leukocyte migration,4.92E-10,1.38E-07,8.65,11186,64,283,14
liver,downregulated,GO:0001819,positive regulation of cytokine production,5.44E-10,1.50E-07,4.06,11186,263,283,27
liver,downregulated,GO:0009605,response to external stimulus,7.78E-10,2.10E-07,2.39,11186,910,283,55
liver,downregulated,GO:0001817,regulation of cytokine production,1.20E-09,3.19E-07,3.17,11186,436,283,35
liver,downregulated,GO:0030155,regulation of cell adhesion,1.42E-09,3.70E-07,3.03,11186,483,283,37
liver,downregulated,GO:1903039,positive regulation of leukocyte cell-cell adhesion,1.50E-09,3.85E-07,5.48,11186,137,283,19
liver,downregulated,GO:0022409,positive regulation of cell-cell adhesion,1.58E-09,3.97E-07,4.91,11186,169,283,21
liver,downregulated,GO:0007204,positive regulation of cytosolic calcium ion concentration,1.82E-09,4.50E-07,4.65,11186,187,283,22
liver,downregulated,GO:0050851,antigen receptor-mediated signaling pathway,2.18E-09,5.30E-07,5.36,11186,140,283,19
liver,downregulated,GO:0050870,positive regulation of T cell activation,2.87E-09,6.88E-07,5.6,11186,127,283,18
liver,downregulated,GO:0022407,regulation of cell-cell adhesion,3.31E-09,7.81E-07,3.86,11186,266,283,26
liver,downregulated,GO:0030593,neutrophil chemotaxis,3.60E-09,8.36E-07,10.6,11186,41,283,11
liver,downregulated,GO:0032101,regulation of response to external stimulus,3.61E-09,8.23E-07,2.82,11186,546,283,39
liver,downregulated,GO:0048518,positive regulation of biological process,3.91E-09,8.79E-07,1.46,11186,4124,283,152
liver,downregulated,GO:0006928,movement of cell or subcellular component,4.16E-09,9.22E-07,2.28,11186,953,283,55
liver,downregulated,GO:0009617,response to bacterium,4.45E-09,9.71E-07,5.14,11186,146,283,19
liver,downregulated,GO:0097530,granulocyte migration,4.56E-09,9.80E-07,9.12,11186,52,283,12
liver,downregulated,GO:0070663,regulation of leukocyte proliferation,6.10E-09,1.29E-06,5.35,11186,133,283,18
liver,downregulated,GO:0030154,cell differentiation,7.54E-09,1.57E-06,2.06,11186,1248,283,65
liver,downregulated,GO:0071621,granulocyte chemotaxis,1.06E-08,2.18E-06,9.66,11186,45,283,11
liver,downregulated,GO:0050670,regulation of lymphocyte proliferation,1.18E-08,2.39E-06,5.46,11186,123,283,17
liver,downregulated,GO:0022603,regulation of anatomical structure morphogenesis,1.28E-08,2.56E-06,2.35,11186,823,283,49
liver,downregulated,GO:0032944,regulation of mononuclear cell proliferation,1.34E-08,2.64E-06,5.42,11186,124,283,17
liver,downregulated,GO:1990266,neutrophil migration,1.36E-08,2.65E-06,9.45,11186,46,283,11
liver,downregulated,GO:0002366,leukocyte activation involved in immune response,1.45E-08,2.80E-06,3.07,11186,412,283,32
liver,downregulated,GO:0030183,B cell differentiation,1.72E-08,3.27E-06,8.18,11186,58,283,12
liver,downregulated,GO:0002263,cell activation involved in immune response,1.73E-08,3.24E-06,3.05,11186,415,283,32
liver,downregulated,GO:0050864,regulation of B cell activation,1.77E-08,3.27E-06,6.67,11186,83,283,14
liver,downregulated,GO:0042113,B cell activation,1.85E-08,3.37E-06,6.11,11186,97,283,15
liver,downregulated,GO:0002274,myeloid leukocyte activation,2.07E-08,3.74E-06,3.09,11186,396,283,31
liver,downregulated,GO:0050727,regulation of inflammatory response,2.11E-08,3.76E-06,3.78,11186,251,283,24
liver,downregulated,GO:0042742,defense response to bacterium,2.83E-08,4.98E-06,6.43,11186,86,283,14
liver,downregulated,GO:0051480,regulation of cytosolic calcium ion concentration,2.91E-08,5.07E-06,4.01,11186,217,283,22
liver,downregulated,GO:0045785,positive regulation of cell adhesion,4.79E-08,8.24E-06,3.5,11186,282,283,25
liver,downregulated,GO:0007186,G protein-coupled receptor signaling pathway,5.04E-08,8.56E-06,2.74,11186,504,283,35
liver,downregulated,GO:0050793,regulation of developmental process,5.35E-08,8.99E-06,1.75,11186,1894,283,84
liver,downregulated,GO:0035556,intracellular signal transduction,6.92E-08,1.15E-05,2.05,11186,1118,283,58
liver,downregulated,GO:0031294,lymphocyte costimulation,8.47E-08,1.39E-05,10.78,11186,33,283,9
liver,downregulated,GO:0031295,T cell costimulation,8.47E-08,1.37E-05,10.78,11186,33,283,9
liver,downregulated,GO:0042035,regulation of cytokine biosynthetic process,9.45E-08,1.52E-05,7.08,11186,67,283,12
liver,downregulated,GO:0050871,positive regulation of B cell activation,9.96E-08,1.58E-05,7.91,11186,55,283,11
liver,downregulated,GO:0044093,positive regulation of molecular function,1.06E-07,1.66E-05,1.95,11186,1277,283,63
liver,downregulated,GO:0051240,positive regulation of multicellular organismal process,1.11E-07,1.72E-05,1.98,11186,1220,283,61
liver,downregulated,GO:0048869,cellular developmental process,1.13E-07,1.74E-05,1.75,11186,1830,283,81
liver,downregulated,GO:0040012,regulation of locomotion,1.44E-07,2.18E-05,2.36,11186,702,283,42
liver,downregulated,GO:0050830,defense response to Gram-positive bacterium,1.48E-07,2.23E-05,10.16,11186,35,283,9
liver,downregulated,GO:0006874,cellular calcium ion homeostasis,2.07E-07,3.09E-05,3.35,11186,283,283,24
liver,downregulated,GO:1902533,positive regulation of intracellular signal transduction,2.09E-07,3.09E-05,2.3,11186,738,283,43
liver,downregulated,GO:0098542,defense response to other organism,2.15E-07,3.14E-05,4.06,11186,185,283,19
liver,downregulated,GO:0051704,multi-organism process,2.37E-07,3.42E-05,2.08,11186,987,283,52
liver,downregulated,GO:0002250,adaptive immune response,2.39E-07,3.43E-05,5.07,11186,117,283,15
liver,downregulated,GO:0051239,regulation of multicellular organismal process,2.40E-07,3.40E-05,1.64,11186,2219,283,92
liver,downregulated,GO:0048522,positive regulation of cellular process,2.54E-07,3.57E-05,1.43,11186,3723,283,135
liver,downregulated,GO:1902105,regulation of leukocyte differentiation,2.77E-07,3.86E-05,3.99,11186,188,283,19
liver,downregulated,GO:0050852,T cell receptor signaling pathway,3.35E-07,4.62E-05,4.94,11186,120,283,15
liver,downregulated,GO:0055074,calcium ion homeostasis,3.46E-07,4.73E-05,3.26,11186,291,283,24
liver,downregulated,GO:0072676,lymphocyte migration,4.07E-07,5.51E-05,9.12,11186,39,283,9
liver,downregulated,GO:0072503,cellular divalent inorganic cation homeostasis,4.18E-07,5.60E-05,3.23,11186,294,283,24
liver,downregulated,GO:0042129,regulation of T cell proliferation,4.94E-07,6.56E-05,5.59,11186,92,283,13
liver,downregulated,GO:0065009,regulation of molecular function,4.97E-07,6.54E-05,1.65,11186,2056,283,86
liver,downregulated,GO:0042116,macrophage activation,5.49E-07,7.15E-05,10.54,11186,30,283,8
liver,downregulated,GO:0070665,positive regulation of leukocyte proliferation,6.15E-07,7.96E-05,6,11186,79,283,12
liver,downregulated,GO:0042108,positive regulation of cytokine biosynthetic process,6.44E-07,8.25E-05,8.68,11186,41,283,9
liver,downregulated,GO:0032760,positive regulation of tumor necrosis factor production,6.83E-07,8.68E-05,7.46,11186,53,283,10
liver,downregulated,GO:0019722,calcium-mediated signaling,8.15E-07,1.03E-04,5.35,11186,96,283,13
liver,downregulated,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,8.20E-07,1.02E-04,7.32,11186,54,283,10
liver,downregulated,GO:0032502,developmental process,8.48E-07,1.05E-04,1.46,11186,3285,283,121
liver,downregulated,GO:0072507,divalent inorganic cation homeostasis,1.03E-06,1.26E-04,3.07,11186,309,283,24
liver,downregulated,GO:0002697,regulation of immune effector process,1.03E-06,1.25E-04,3.39,11186,245,283,21
liver,downregulated,GO:0010818,T cell chemotaxis,1.16E-06,1.40E-04,21.96,11186,9,283,5
liver,downregulated,GO:0042110,T cell activation,1.16E-06,1.39E-04,4.49,11186,132,283,15
liver,downregulated,GO:1903706,regulation of hemopoiesis,1.27E-06,1.51E-04,2.95,11186,335,283,25
liver,downregulated,GO:0048519,negative regulation of biological process,1.54E-06,1.81E-04,1.41,11186,3610,283,129
liver,downregulated,GO:0050921,positive regulation of chemotaxis,1.57E-06,1.83E-04,5.52,11186,86,283,12
liver,downregulated,GO:0002269,leukocyte activation involved in inflammatory response,1.61E-06,1.87E-04,14.82,11186,16,283,6
liver,downregulated,GO:0001774,microglial cell activation,1.61E-06,1.85E-04,14.82,11186,16,283,6
liver,downregulated,GO:0042127,regulation of cell proliferation,1.63E-06,1.86E-04,1.94,11186,1080,283,53
liver,downregulated,GO:0009967,positive regulation of signal transduction,1.78E-06,2.01E-04,1.9,11186,1142,283,55
liver,downregulated,GO:0045088,regulation of innate immune response,1.92E-06,2.16E-04,3.15,11186,276,283,22
liver,downregulated,GO:0045619,regulation of lymphocyte differentiation,1.93E-06,2.16E-04,4.61,11186,120,283,14
liver,downregulated,GO:0060333,interferon-gamma-mediated signaling pathway,1.98E-06,2.19E-04,9.03,11186,35,283,8
liver,downregulated,GO:0032946,positive regulation of mononuclear cell proliferation,1.98E-06,2.17E-04,5.96,11186,73,283,11
liver,downregulated,GO:0050671,positive regulation of lymphocyte proliferation,1.98E-06,2.16E-04,5.96,11186,73,283,11
liver,downregulated,GO:0006968,cellular defense response,2.00E-06,2.17E-04,11.07,11186,25,283,7
liver,downregulated,GO:0048247,lymphocyte chemotaxis,2.00E-06,2.15E-04,11.07,11186,25,283,7
liver,downregulated,GO:0031349,positive regulation of defense response,2.04E-06,2.18E-04,3.14,11186,277,283,22
liver,downregulated,GO:0043067,regulation of programmed cell death,2.29E-06,2.42E-04,1.93,11186,1063,283,52
liver,downregulated,GO:0050829,defense response to Gram-negative bacterium,2.43E-06,2.56E-04,13.95,11186,17,283,6
liver,downregulated,GO:0009966,regulation of signal transduction,2.57E-06,2.68E-04,1.59,11186,2169,283,87
